head_name,accuracy,correct_count,total_count
wmdp_head_1,0.25588697017268447,163,637
wmdp_head_2,0.25117739403453687,160,637
wmdp_head_3,0.2794348508634223,178,637
wmdp_head_4,0.271585557299843,173,637
wmdp_head_5,0.2731554160125589,174,637
wmdp_head_6,0.2857142857142857,182,637
wmdp_head_7,0.2857142857142857,182,637
wmdp_head_8,0.260596546310832,166,637
wmdp_head_9,0.25902668759811615,165,637
wmdp_head_10,0.24332810047095763,155,637
wmdp_head_11,0.28100470957613816,179,637
wmdp_head_12,0.25902668759811615,165,637
wmdp_head_13,0.24332810047095763,155,637
wmdp_head_14,0.271585557299843,173,637
wmdp_head_15,0.22762951334379905,145,637
wmdp_head_16,0.24803767660910517,158,637
wmdp_head_17,0.2370486656200942,151,637
wmdp_head_18,0.24960753532182103,159,637
wmdp_head_19,0.24332810047095763,155,637
wmdp_head_20,0.2401883830455259,153,637
wmdp_head_21,0.23861852433281006,152,637
wmdp_head_22,0.23233908948194662,148,637
wmdp_head_23,0.23233908948194662,148,637
wmdp_head_24,0.23547880690737832,150,637
wmdp_head_25,0.22762951334379905,145,637
wmdp_head_26,0.23547880690737832,150,637
wmdp_head_27,0.22919937205651492,146,637
wmdp_head_28,0.22919937205651492,146,637
wmdp_head_29,0.22919937205651492,146,637
wmdp_head_30,0.22762951334379905,145,637
wmdp_head_31,0.22919937205651492,146,637
wmdp_head_32,0.22919937205651492,146,637
